한식,용달운송,부동산,옷가게,주점,미용실,슈퍼마켓,분식,세탁소,노래방,편의점,치킨집,카센터,과일채소가게,정육점,중국집,당구장,빵집,pc방,인구,면적,인구밀도,음료점,사업체수,총종사자수,총여성종사자수,운영평균,폐업평균,기간_2015,기간_2016,기간_2017,기간_2018,기간_2019
9,41,13,10,3,11,9,6,3,4,3,3,1,0,0,1,1,1,1,19709,0.8,24636,8,458,2116,930,86.25,46.0,1,0,0,0,0
167,144,59,25,62,59,22,21,23,28,17,17,20,3,11,10,8,10,7,42935,5.62,7640,39,3018,9674,4186,80.0,43.5,1,0,0,0,0
244,68,58,284,144,84,29,35,22,55,20,17,17,8,19,14,15,18,8,22250,0.61,36475,63,2456,9735,5721,79.0,41.75,1,0,0,0,0
121,171,44,26,46,57,49,13,23,21,9,14,14,13,12,6,7,5,5,31990,5.62,5692,15,1635,5226,2399,102.5,48.0,1,0,0,0,0
79,96,43,36,51,52,26,20,13,17,10,13,13,9,8,4,7,7,7,28084,0.44,63827,16,1353,3723,2098,96.25,44.0,1,0,0,0,0
100,79,58,23,43,48,23,31,17,19,21,15,3,10,9,14,7,12,3,35872,1.11,32317,25,1889,16046,9892,91.5,44.0,1,0,0,0,0
19,38,15,19,7,18,8,9,9,3,4,5,1,2,3,3,0,6,2,26026,0.67,38845,6,558,1949,1219,92.75,55.25,1,0,0,0,0
18,68,19,27,9,17,7,16,9,2,5,4,0,4,4,3,1,4,2,23848,0.81,29442,2,696,2459,1377,97.75,47.0,1,0,0,0,0
135,115,36,13,41,39,22,23,14,28,19,21,11,3,8,10,13,9,10,22875,1.16,19720,38,1421,5453,2191,89.75,49.25,1,0,0,0,0
33,135,15,7,18,27,20,20,17,6,10,13,1,3,10,6,2,6,2,28708,1.94,14798,9,971,3439,1498,84.5,47.25,1,0,0,0,0
32,159,34,39,4,26,17,10,12,2,6,9,2,3,8,2,0,6,1,34528,1.17,29511,13,945,3588,1849,86.5,44.75,1,0,0,0,0
25,50,35,16,7,34,13,27,17,5,10,7,6,1,5,6,0,11,2,29782,0.63,47273,20,940,4171,2355,83.5,45.25,1,0,0,0,0
56,123,21,230,12,32,23,19,11,1,6,14,1,2,7,10,0,12,2,40388,0.9,44876,23,1345,5351,3134,83.75,47.0,1,0,0,0,0
111,71,24,43,35,24,15,20,7,20,7,13,5,4,6,4,9,9,6,22707,1.7,13357,16,1037,3850,2126,82.5,43.0,1,0,0,0,0
58,68,36,22,24,35,19,17,16,7,11,13,6,3,7,6,4,4,6,28567,1.97,14501,28,1161,5330,2654,81.0,43.0,1,0,0,0,0
71,52,23,79,21,21,18,13,12,2,14,8,16,2,4,7,1,5,1,29635,1.55,19119,19,985,7550,3814,90.25,48.0,1,0,0,0,0
14,54,15,0,1,17,8,5,7,0,1,4,0,1,1,0,0,1,1,25078,0.51,49173,1,370,1240,710,103.0,54.0,1,0,0,0,0
205,99,48,25,47,40,35,14,14,27,19,12,10,10,10,10,10,3,3,23526,8.72,2698,20,1673,5804,2403,99.25,48.0,1,0,0,0,0
98,119,37,19,47,38,18,10,14,8,7,6,10,7,7,6,1,6,2,29771,0.83,35869,18,1459,6738,2729,90.25,46.25,1,0,0,0,0
200,140,72,88,118,69,37,35,23,43,22,17,19,6,10,14,16,15,12,31622,0.69,45829,24,2346,10651,4863,83.25,42.5,1,0,0,0,0
70,88,22,28,24,51,24,15,13,10,9,9,8,21,14,7,6,5,1,22631,0.74,30582,6,1222,2929,1440,88.25,44.5,1,0,0,0,0
39,104,21,8,6,19,16,9,14,4,7,8,6,1,4,1,4,4,0,30909,2.64,11708,9,863,2984,1496,89.5,51.5,1,0,0,0,0
29,90,17,10,18,33,22,23,13,3,11,7,4,6,11,5,3,5,3,22590,1.24,18218,21,910,3888,2100,94.25,42.25,1,0,0,0,0
69,99,32,41,25,44,21,18,15,14,11,9,7,4,5,4,4,7,7,21294,0.54,39433,15,1278,5301,2762,86.0,46.0,1,0,0,0,0
