,기간,자치구행정동명,한식,용달운송,부동산,옷가게,주점,미용실,슈퍼마켓,분식,세탁소,노래방,편의점,치킨집,카센터,과일채소가게,정육점,중국집,당구장,빵집,pc방
546,2016,금천구 가산동,429,191,194,705,82,39,66,77,18,32,76,23,19,7,3,52,22,21,7
547,2016,금천구 독산1동,186,159,65,52,55,41,49,31,22,32,23,17,35,5,42,20,10,9,4
548,2016,금천구 독산2동,80,110,33,17,38,51,24,11,17,13,9,10,8,9,12,6,5,5,4
549,2016,금천구 독산3동,120,142,65,46,84,72,59,29,27,25,17,15,14,20,18,45,9,6,7
550,2016,금천구 독산4동,74,83,26,11,48,36,24,16,13,23,12,11,8,3,5,11,7,2,4
551,2016,금천구 시흥1동,246,160,71,128,107,80,43,55,28,42,30,26,15,35,22,18,17,15,7
552,2016,금천구 시흥2동,7,119,18,2,6,19,8,8,8,1,3,4,3,2,5,1,0,2,0
553,2016,금천구 시흥3동,74,114,27,9,16,15,15,12,5,7,9,4,16,1,6,5,4,4,3
554,2016,금천구 시흥4동,27,135,20,18,21,36,20,16,10,6,8,8,6,3,10,4,3,2,3
555,2016,금천구 시흥5동,82,126,34,30,38,52,30,17,17,15,8,13,7,11,12,3,6,6,8
556,2016,노원구 공릉1동,190,210,75,54,64,73,30,36,26,29,37,27,26,19,13,10,11,12,6
557,2016,노원구 공릉2동,115,197,64,24,32,53,22,39,23,27,31,21,4,2,15,8,12,16,7
558,2016,노원구 상계10동,9,54,13,8,4,9,9,4,3,4,2,3,1,0,0,1,1,1,1
559,2016,노원구 상계1동,170,168,61,27,57,61,22,21,22,30,23,19,19,2,12,10,9,11,7
560,2016,노원구 상계2동,238,80,59,252,143,85,24,28,22,60,21,26,16,8,16,15,14,23,11
561,2016,노원구 상계3.4동,98,183,38,29,44,46,35,15,19,19,10,12,9,14,10,6,7,5,4
562,2016,노원구 상계5동,91,124,56,37,48,63,28,22,18,17,11,12,16,9,9,4,7,6,8
563,2016,노원구 상계6.7동,104,93,56,24,44,50,21,27,17,20,25,15,3,9,9,14,8,13,6
564,2016,노원구 상계8동,19,47,16,18,7,17,7,5,9,3,4,4,1,3,3,3,0,7,2
565,2016,노원구 상계9동,18,84,23,28,7,18,8,13,9,2,5,6,0,4,4,2,1,3,2
566,2016,노원구 월계1동,133,135,35,12,35,41,20,26,13,32,23,19,11,2,8,9,13,10,10
