매장명,매장주소
본 죽&비빔밥 칠곡경북대병원점,대구광역시 북구 호국로 807-35 1층
본 죽&비빔밥 대구경북대병원점,대구광역시 중구 동덕로 129 (삼덕동2가)
본 죽&비빔밥 대구중구남산점,"대구광역시 중구 달구벌대로 1950 (남산동, 남산그린타운) 1층"
본 죽&비빔밥 대구상인롯데점,"대구광역시 달서구 상인서로 103-6 (상인동, 리젠트프라자)"
본 죽&비빔밥 대구MBC네거리점,대구광역시 수성구 동대구로 389 (범어동)
본 죽&비빔밥 대구금호점,대구광역시 북구 내곡로 36 (사수동)
본 죽&비빔밥 대구대곡역점,대구광역시 달성군 화원읍 비슬로 2727 1층
본 죽&비빔밥 대구동산병원점,대구광역시 중구 국채보상로 468 (대신동) 1층
본 죽&비빔밥 대구달서구청점,"대구광역시 달서구 학산로 7길 5 월성동, 월성동서타운)"
본 죽&비빔밥 대구만촌이마트점,대구광역시 수성구 동원로 135 네트로팔레스상가 821동 107호
본 죽&비빔밥 대구북구청점,대구광역시 북구 원대로 91 (노원동1가)
본 죽&비빔밥 대구파티마병원점,대구광역시 동구 아양로 77 (신암동) 1층
본 죽&비빔밥 대구성서점,대구광역시 달서구 이곡동로 23 (이곡동)
본 죽&비빔밥 대구칠곡점,대구광역시 북구 학정로 429 로데오프라자 101호
본 죽&비빔밥 대구용산장기점,대구광역시 달서구 용산로 141 그랜드M 타워
본 죽&비빔밥 대구시지점,대구광역시 수성구 달구벌대로 3188 아레나 스포츠센타 1층
본 죽&비빔밥 대구신서혁신지구점,대구광역시 동구 첨단로8길 1 미소빌딩 104호
본 죽&비빔밥 대구성당뉴타운점,대구광역시 달서구 당산로 39 성당 래미안 e-편한세상
본 죽&비빔밥 대구동성로점,대구광역시 중구 동성로 57 (동성로2가)
본 죽&비빔밥 내당삼익뉴타운점,대구광역시 서구 평리로 254 (내당동) 삼능빌딩 B동
본 죽&비빔밥 인천마전동점,인천광역시 서구 마전동 1140-5 102호
본 죽&비빔밥 인천인하대역점,"인천광역시 미추홀구 독배로 311 (용현동, 비젼프라자) 1층 제102호"
본 죽&비빔밥 인천청라호수공원점,인천광역시 서구 청라한내로 96 (청라동) 하엘에스페이스 제 1층 102호
본 죽&비빔밥 인천갈산점,"인천광역시 부평구 주부토로 182 (갈산동, 승전빌딩) 104호"
본 죽&비빔밥 인천도화점,"인천광역시 미추홀구 숙골로87번길 2 (도화동, 센타프라자) 센터프라자 101호"
본 죽&비빔밥 인천소래역점,인천광역시 남동구 앵고개로 928 (논현동) 115호
본 죽&비빔밥 인천작전동점,인천광역시 계양구 효서로 233 (작전동)
본 죽&비빔밥 송도랜드마크시티더샵점,"인천광역시 연수구 랜드마크로 68 (송도동, 랜드마크시티센트럴더샵) 1층 79호"
본 죽&비빔밥 인천보훈병원점,인천광역시 미추홀구 인주대로 148 (용현동) 115호
본 죽&비빔밥 인천부평부개동점,"인천광역시 부평구 길주남로 158 (부개동, 부개프라자) 부개프라자 109호"
본 죽&비빔밥 인천한화에코점,인천광역시 남동구 에코중앙로156번길 5-21 (논현동) 101호
본 죽&비빔밥 인천계양점,"인천광역시 계양구 계산새로 71 (계산동, 하이베라스) D동 107호"
본 죽&비빔밥 인천제물포역점,인천광역시 미추홀구 수봉로27번길 4 (숭의동) 101호
본 죽&비빔밥 인천경인교대역점,인천광역시 계양구 계양대로 157 (계산동) 1층
본 죽&비빔밥 인천동암역점,인천광역시 부평구 열우물로 22 (십정동) 부림빌딩 1층
본 죽&비빔밥 송도글로벌캠퍼스점,"인천 연수구 송도문화로28번길 28 (송도동, 송도글로벌캠퍼스푸르지오) 203동 3-127호"
본 죽&비빔밥 송도퍼스트파크점,"인천광역시 연수구 컨벤시아대로230번길 42 (송도동, 송도아라플라자) 109호"
본 죽&비빔밥 인천선학점,인천 연수구 선학동 411-1 1층
본 죽&비빔밥 인천경서점,"인천광역시 서구 경서로69번길 12 (경서동, 상현빌딩)"
본 죽&비빔밥 인천백운역점,인천광역시 부평구 경원대로 1254 (산곡동)
